DATE,HOUS448NA
1990-01-01,1737.0
1990-02-01,1743.4
1990-03-01,1750.6
1990-04-01,1761.3
1990-05-01,1774.9
1990-06-01,1788.2
1990-07-01,1797.0
1990-08-01,1802.0
1990-09-01,1806.2
1990-10-01,1803.0
1990-11-01,1804.9
1990-12-01,1815.7
1991-01-01,1806.5
1991-02-01,1809.5
1991-03-01,1815.9
1991-04-01,1815.6
1991-05-01,1817.6
1991-06-01,1824.4
1991-07-01,1814.1
1991-08-01,1812.1
1991-09-01,1818.4
1991-10-01,1811.1
1991-11-01,1809.5
1991-12-01,1807.6
1992-01-01,1808.6
1992-02-01,1811.3
1992-03-01,1810.6
1992-04-01,1813.1
1992-05-01,1814.5
1992-06-01,1812.3
1992-07-01,1811.1
1992-08-01,1810.3
1992-09-01,1811.3
1992-10-01,1820.9
1992-11-01,1824.6
1992-12-01,1824.6
1993-01-01,1828.0
1993-02-01,1831.5
1993-03-01,1834.2
1993-04-01,1839.3
1993-05-01,1839.8
1993-06-01,1845.0
1993-07-01,1851.1
1993-08-01,1856.4
1993-09-01,1859.8
1993-10-01,1860.4
1993-11-01,1862.5
1993-12-01,1872.7
1994-01-01,1870.6
1994-02-01,1867.6
1994-03-01,1872.3
1994-04-01,1884.9
1994-05-01,1884.3
1994-06-01,1887.9
1994-07-01,1894.4
1994-08-01,1898.8
1994-09-01,1899.9
1994-10-01,1910.9
1994-11-01,1919.9
1994-12-01,1925.1
1995-01-01,1932.4
1995-02-01,1936.6
1995-03-01,1941.9
1995-04-01,1942.0
1995-05-01,1945.4
1995-06-01,1955.5
1995-07-01,1958.1
1995-08-01,1962.7
1995-09-01,1965.8
1995-10-01,1970.5
1995-11-01,1971.4
1995-12-01,1977.8
1996-01-01,1980.6
1996-02-01,1983.5
1996-03-01,1985.5
1996-04-01,1993.7
1996-05-01,1997.0
1996-06-01,1997.8
1996-07-01,2006.4
1996-08-01,2008.6
1996-09-01,2009.4
1996-10-01,2029.0
1996-11-01,2034.2
1996-12-01,2029.8
1997-01-01,2040.7
1997-02-01,2052.5
1997-03-01,2060.5
1997-04-01,2066.2
1997-05-01,2076.5
1997-06-01,2082.9
1997-07-01,2086.9
1997-08-01,2097.8
1997-09-01,2109.1
1997-10-01,2117.7
1997-11-01,2129.2
1997-12-01,2136.1
1998-01-01,2145.8
1998-02-01,2156.3
1998-03-01,2165.6
1998-04-01,2173.9
1998-05-01,2181.9
1998-06-01,2191.6
1998-07-01,2200.7
1998-08-01,2210.3
1998-09-01,2214.5
1998-10-01,2216.5
1998-11-01,2222.4
1998-12-01,2228.8
1999-01-01,2217.6
1999-02-01,2221.9
1999-03-01,2227.9
1999-04-01,2215.5
1999-05-01,2213.6
1999-06-01,2221.2
1999-07-01,2225.4
1999-08-01,2229.1
1999-09-01,2233.0
1999-10-01,2239.8
1999-11-01,2243.2
1999-12-01,2251.2
2000-01-01,2253.0
2000-02-01,2257.7
2000-03-01,2265.6
2000-04-01,2271.2
2000-05-01,2276.7
2000-06-01,2282.6
2000-07-01,2286.1
2000-08-01,2288.0
2000-09-01,2295.9
2000-10-01,2299.9
2000-11-01,2301.8
2000-12-01,2308.4
2001-01-01,2312.1
2001-02-01,2317.6
2001-03-01,2321.0
2001-04-01,2325.3
2001-05-01,2325.2
2001-06-01,2323.8
2001-07-01,2324.0
2001-08-01,2327.5
2001-09-01,2324.5
2001-10-01,2320.0
2001-11-01,2319.6
2001-12-01,2310.6
2002-01-01,2316.1
2002-02-01,2316.0
2002-03-01,2316.2
2002-04-01,2316.4
2002-05-01,2320.3
2002-06-01,2317.1
2002-07-01,2315.5
2002-08-01,2316.7
2002-09-01,2315.4
2002-10-01,2314.6
2002-11-01,2312.8
2002-12-01,2309.6
2003-01-01,2310.1
2003-02-01,2309.6
2003-03-01,2306.7
2003-04-01,2305.1
2003-05-01,2302.9
2003-06-01,2301.0
2003-07-01,2293.0
2003-08-01,2296.7
2003-09-01,2299.7
2003-10-01,2297.7
