DATE,ATNHPIUS26420Q
1976-01-01,51.4
1976-04-01,58.34
1976-07-01,57.97
1976-10-01,57.8
1977-01-01,59.86
1977-04-01,65.94
1977-07-01,64.2
1977-10-01,67.69
1978-01-01,69.38
1978-04-01,74.71
1978-07-01,73.42
1978-10-01,76.84
1979-01-01,78.72
1979-04-01,83.28
1979-07-01,84.64
1979-10-01,85.55
1980-01-01,88.03
1980-04-01,91.93
1980-07-01,90.87
1980-10-01,92.80
1981-01-01,89.84
1981-04-01,96.02
1981-07-01,97.56
1981-10-01,100.37
1982-01-01,106.20
1982-04-01,107.87
1982-07-01,105.62
1982-10-01,107.83
1983-01-01,107.79
1983-04-01,108.38
1983-07-01,107.62
1983-10-01,106.92
1984-01-01,103.45
1984-04-01,103.37
1984-07-01,103.97
1984-10-01,101.39
1985-01-01,98.07
1985-04-01,95.89
1985-07-01,94.18
1985-10-01,92.15
1986-01-01,93.15
1986-04-01,94.39
1986-07-01,92.6
1986-10-01,88.25
1987-01-01,88.09
1987-04-01,86.59
1987-07-01,83.77
1987-10-01,81.54
1988-01-01,81.86
1988-04-01,84.3
1988-07-01,85.05
1988-10-01,85.58
1989-01-01,86.36
1989-04-01,88.44
1989-07-01,90.36
1989-10-01,90.87
1990-01-01,91.48
1990-04-01,92.53
1990-07-01,93.73
1990-10-01,93.54
1991-01-01,94.47
1991-04-01,95.64
1991-07-01,96.21
1991-10-01,97.19
1992-01-01,98.88
1992-04-01,98.41
1992-07-01,100.17
1992-10-01,100.07
1993-01-01,100.38
1993-04-01,100.86
1993-07-01,101.67
1993-10-01,102.24
1994-01-01,102.24
1994-04-01,101.68
1994-07-01,101.66
1994-10-01,100.24
1995-01-01,100.00
1995-04-01,101.66
1995-07-01,102.15
1995-10-01,102.7
1996-01-01,104.24
1996-04-01,103.74
1996-07-01,103.97
1996-10-01,104.62
1997-01-01,104.48
1997-04-01,106.24
1997-07-01,107.26
1997-10-01,108.42
1998-01-01,110.87
1998-04-01,111.98
1998-07-01,114.29
1998-10-01,115.72
1999-01-01,117.25
1999-04-01,120.26
1999-07-01,123.19
1999-10-01,125.77
2000-01-01,127.26
2000-04-01,129.24
2000-07-01,130.99
2000-10-01,132.02
2001-01-01,136.31
2001-04-01,137.76
2001-07-01,139.59
2001-10-01,140.98
2002-01-01,141.7
2002-04-01,143.48
2002-07-01,145.25
2002-10-01,147.36
2003-01-01,148.42
2003-04-01,149.37
2003-07-01,150.25
2003-10-01,151.74
2004-01-01,153.3
2004-04-01,154.67
2004-07-01,156.76
2004-10-01,157.73
2005-01-01,160.19
2005-04-01,161.3
2005-07-01,163.58
2005-10-01,166.23
2006-01-01,168.78
2006-04-01,171.24
2006-07-01,173.77
2006-10-01,175.07
2007-01-01,177.41
2007-04-01,180.28
2007-07-01,181.03
2007-10-01,182.25
2008-01-01,184.31
2008-04-01,184.8
2008-07-01,185.96
2008-10-01,185.69
2009-01-01,188.28
2009-04-01,186.75
2009-07-01,185.52
2009-10-01,185.08
2010-01-01,183.86
2010-04-01,184.18
2010-07-01,184.75
2010-10-01,184.54
2011-01-01,181.22
2011-04-01,180.79
2011-07-01,182.18
2011-10-01,182.77
2012-01-01,183.85
2012-04-01,186.38
2012-07-01,187.83
2012-10-01,189.8
2013-01-01,191.88
2013-04-01,195.58
2013-07-01,200.62
2013-10-01,205.05
2014-01-01,209.18
2014-04-01,217.07
2014-07-01,224.34
2014-10-01,227.78
2015-01-01,230.23
2015-04-01,237.46
2015-07-01,240.57
2015-10-01,241.48
2016-01-01,242.2
2016-04-01,246.69
2016-07-01,250.13
2016-10-01,252.11
2017-01-01,253.95
2017-04-01,260.08
2017-07-01,261.26
2017-10-01,265.81
2018-01-01,266.65
2018-04-01,274.97
2018-07-01,280.05
2018-10-01,279.62
2019-01-01,283.83
2019-04-01,285.56
2019-07-01,290.75
